Date,Product,Category,Price,Quantity
2026-01-05,Laptop,Electronics,1050,1
2026-01-06,Mouse,Electronics,25,3
2026-01-08,Desk Chair,Furniture,150,2
2026-01-12,Coffee Mug,Kitchen,15,5
2026-01-15,Monitor,Electronics,220,1
2026-01-19,Keyboard,Electronics,45,2
2026-01-22,Desk,Furniture,350,1
2026-01-26,Water Bottle,Kitchen,18,4
2026-02-02,Laptop,Electronics,999,1
2026-02-05,Mouse,Electronics,30,2
2026-02-09,Desk Chair,Furniture,145,1
2026-02-14,Coffee Mug,Kitchen,12,3
2026-02-18,Monitor,Electronics,210,2
2026-02-23,Keyboard,Electronics,50,1
2026-02-27,Water Bottle,Kitchen,20,2
2026-03-04,Laptop,Electronics,1150,1
2026-03-10,Desk,Furniture,320,1
2026-03-15,Mouse,Electronics,25,4
2026-03-22,Coffee Mug,Kitchen,15,2
2026-03-28,Desk Chair,Furniture,160,1
